Ticker,Description,Last,Change %,Change,High,Low,Volume,Rating,Exchange
ADAUSD,Cardano / US Dollar (calculated by TradingView),1.76042168,-0.34035327,-0.00601212,1.77577872,1.74652233,2138458.82761085,Buy,BINANCE
ANKRUSD,Ankr / US Dollar (calculated by TradingView),0.1062577,-0.44656773,-0.00047664,0.10691144,0.10554435,6366107.14083802,Neutral,BINANCE
CHZUSD,Chiliz / US Dollar (calculated by TradingView),0.27171086,0.37828156,0.00102396,0.27253243,0.26981789,3703325.42634022,Neutral,BINANCE
CKBUSD,CKB / US Dollar (calculated by TradingView),0.01397162,0.242588,0.00003381,0.01435003,0.01352339,103989952.15826377,Sell,BINANCE
DGBUSD,DGB / US Dollar (calculated by TradingView),0.06691661,0.24245168,0.00016185,0.0672342,0.06613651,6941300.83242872,Buy,BINANCE
DOGEUSD,Dogecoin / US Dollar (calculated by TradingView),0.36951207,-0.25379808,-0.0009402,0.3737707,0.36574763,11917707.35334293,Buy,BINANCE
FTMUSD,Fantom / US Dollar (calculated by TradingView),0.30811056,-0.11513138,-0.00035514,0.30939091,0.30567705,6005727.56404884,Sell,BINANCE
HBARUSD,Hedera Hashgraph / US Dollar (calculated by TradingView),0.226487,-0.40427381,-0.00091934,0.22886459,0.22514309,3128490.84926247,Buy,BINANCE
IOSTUSD,IOST / US Dollar (calculated by TradingView),0.03161998,0.242588,0.00007652,0.03200596,0.03140768,13774194.22270939,Buy,BINANCE
LRCUSD,Loopring / US Dollar (calculated by TradingView),0.3761302,-0.72794959,-0.00275812,0.38156363,0.37435511,2356855.61115585,Buy,BINANCE
ONEUSD,Harmony / US Dollar (calculated by TradingView),0.09853655,-0.13019684,-0.00012846,0.09893129,0.09756314,7949418.68522619,Neutral,BINANCE
REEFUSD,REEF / US Dollar (calculated by TradingView),0.02536949,0.24245168,0.00006136,0.02538665,0.02485328,22600873.48610901,Neutral,BINANCE
RSRUSD,RSR / US Dollar (calculated by TradingView),0.03750272,-0.73084367,-0.0002761,0.03825999,0.03728745,6456697.69828324,Neutral,BINANCE
RVNUSD,Ravencoin / US Dollar (calculated by TradingView),0.08309437,-0.1990093,-0.0001657,0.08373069,0.08217535,3633228.60968585,Buy,BINANCE
SCUSD,Siacoin / US Dollar (calculated by TradingView),0.01728066,0.24238335,0.00004178,0.01762686,0.01680209,55534610.71465024,Buy,BINANCE
SNTUSD,Status / US Dollar (calculated by TradingView),0.09485981,-0.14465287,-0.00013742,0.09566687,0.0943199,3192230.13621501,Strong Buy,BINANCE
TFUELUSD,Theta Fuel / US Dollar (calculated by TradingView),0.35149606,0.03310907,0.00011634,0.35433537,0.34886819,2995843.29052312,Buy,BINANCE
TRXUSD,TRON / US Dollar (calculated by TradingView),0.07574078,-0.72141805,-0.00055038,0.07688787,0.07549874,8822020.21181134,Buy,BINANCE
VETUSD,VeChain / US Dollar (calculated by TradingView),0.12170016,-0.65786224,-0.00080592,0.12325677,0.12079612,13033537.63926303,Buy,BINANCE
XEMUSD,NEM / US Dollar (calculated by TradingView),0.18935196,0.4374759,0.00082476,0.18939901,0.18771565,3997213.57562336,Buy,BINANCE
XLMUSD,Stellar / US Dollar (calculated by TradingView),0.41289757,-0.29028057,-0.00120205,0.41644531,0.41046029,2914257.66841063,Buy,BINANCE
XRPUSD,XRP / US Dollar (calculated by TradingView),1.00522126,-0.08638396,-0.0008691,1.01135609,0.99813388,2867673.18733223,Buy,BINANCE
XVGUSD,Verge / US Dollar (calculated by TradingView),0.02610487,0.24251967,0.00006316,0.02612441,0.02556437,33997516.94001998,Buy,BINANCE
ZILUSD,Zilliqa / US Dollar (calculated by TradingView),0.1268476,1.12184002,0.00140724,0.12705812,0.12453502,12436612.87835097,Strong Buy,BINANCE
