Ticker,Description,Last,Change %,Change,High,Low,Volume,Rating,Exchange
1INCHUSD,1INCH / US Dollar (calculated by TradingView),3.15839837,-0.17333394,-0.00548408,3.17940591,3.14182446,417936.1809561,Buy,BINANCE
AAVEUSD,AAVE / US Dollar (calculated by TradingView),373.05161051,-0.21719383,-0.81200872,375.80627178,371.04030425,7429.46724879,Buy,BINANCE
ADAUSD,Cardano / US Dollar (calculated by TradingView),1.75968434,-0.38209494,-0.00674945,1.77577872,1.74652233,2089554.4489099,Buy,BINANCE
ALGOUSD,Algorand / US Dollar (calculated by TradingView),0.90811756,0.2384255,0.00216003,0.91019752,0.90130333,1311654.27553721,Buy,BINANCE
ANKRUSD,Ankr / US Dollar (calculated by TradingView),0.10612454,-0.57132981,-0.00060981,0.10691144,0.10554435,6240037.45059465,Neutral,BINANCE
ARUSD,AR / US Dollar (calculated by TradingView),15.38622156,-0.68910618,-0.10676311,15.53314435,15.32298002,17543.96656649,Buy,BINANCE
ATOMUSD,Cosmos / US Dollar (calculated by TradingView),13.95776328,-0.53742899,-0.07541839,14.12009695,13.90275471,99124.10852664,Buy,BINANCE
AVAXUSD,AVAX / US Dollar (calculated by TradingView),17.66844989,-0.08467176,-0.01497286,17.74822223,17.5715075,36491.11042352,Buy,BINANCE
BATUSD,Basic Attention Token / US Dollar (calculated by TradingView),0.75168486,0.01910349,0.00014357,0.75563487,0.74761307,592653.99101761,Buy,BINANCE
BCDUSD,Bitcoin Diamond / US Dollar (calculated by TradingView),2.68065435,0.06192942,0.00165909,2.69953683,2.67124669,244417.19260184,Buy,BINANCE
BCHUSD,Bitcoin Cash / US Dollar (calculated by TradingView),684.88882642,-0.27882916,-1.91500939,689.81780151,681.75227423,2275.88664027,Sell,BINANCE
BNBUSD,Binance Coin / US Dollar (calculated by TradingView),360.8601414,-0.12715667,-0.45944194,362.98218175,358.93384254,12497.26535563,Strong Buy,BINANCE
BNTUSD,Bancor / US Dollar (calculated by TradingView),4.59603697,-0.64524297,-0.0298482,4.63350591,4.58450926,62983.49403853,Buy,BINANCE
BQXUSD,Voyager / US Dollar (calculated by TradingView),2.46767086,0.16147282,0.00397819,2.47190912,2.44865282,314425.91566213,Neutral,BINANCE
BTCBUSD,Bitcoin / BUSD,36734.68,0.2131953,78.15,36793.09,36499.58,355.094612,Buy,BINANCE
BTCSTUSD,BTCST / US Dollar (calculated by TradingView),35.76653889,-0.15993792,-0.05729589,35.99230662,35.56371646,12032.19137373,Buy,BINANCE
BTCTUSD,Bitcoin / TrueUSD,36750.88,0.24453626,89.65,36796.47,36501.8,6.70329,Buy,BINANCE
BTCUSD,Bitcoin / US Dollar (calculated by TradingView),36757.406496,0.27414602,100.493468,36929.8749,36515.3716323,26970.968786,Buy,BINANCE
BTGUSD,Bitcoin Gold / US Dollar (calculated by TradingView),57.46882276,-0.26554241,-0.15301041,57.70411429,57.26579824,8229.94371992,Neutral,BINANCE
CAKEUSD,CAKE / US Dollar (calculated by TradingView),17.87225306,-0.06796704,-0.0121555,18.01491511,17.70239637,61223.16509836,Buy,BINANCE
CELOUSD,CELO / US Dollar (calculated by TradingView),3.32254255,-1.21515347,-0.04087063,3.38675717,3.30229245,81446.53535501,Sell,BINANCE
CFXUSD,CFX / US Dollar (calculated by TradingView),0.42670142,-1.5772651,-0.00683807,0.43712401,0.42599957,563262.2280474,Buy,BINANCE
CHZUSD,Chiliz / US Dollar (calculated by TradingView),0.27137035,0.25248577,0.00068345,0.27253243,0.26981789,3670778.31020143,Neutral,BINANCE
CKBUSD,CKB / US Dollar (calculated by TradingView),0.01395409,0.11682612,0.00001628,0.01435003,0.01352339,102235219.67859776,Sell,BINANCE
COMPUSD,COMP / US Dollar (calculated by TradingView),424.35125613,-0.03030726,-0.12864825,426.21297593,421.96042741,2072.11857614,Buy,BINANCE
CRVUSD,CRV / US Dollar (calculated by TradingView),2.26092998,4.76187598,0.10276895,2.26993207,2.14962048,751313.22981863,Strong Buy,BINANCE
DASHUSD,Dash / US Dollar (calculated by TradingView),193.11727726,-0.46993768,-0.91181582,194.60849055,192.28483654,4120.30741818,Buy,BINANCE
DCRUSD,Decred / US Dollar (calculated by TradingView),160.54549081,-0.02045102,-0.03283991,161.22450081,159.99275328,4637.3336194,Neutral,BINANCE
DGBUSD,DGB / US Dollar (calculated by TradingView),0.06646554,-0.43326633,-0.00028923,0.0672342,0.06613651,6812678.9653356,Buy,BINANCE
DOGEUSD,Dogecoin / US Dollar (calculated by TradingView),0.36868178,-0.47792731,-0.00177049,0.3737707,0.36574763,11473498.16651835,Buy,BINANCE
DOTUSD,DOT / US Dollar (calculated by TradingView),23.8141254,0.69280188,0.16384956,23.8536326,23.54113686,110615.72626936,Buy,BINANCE
EGLDUSD,EGLD / US Dollar (calculated by TradingView),101.93830798,-0.84755287,-0.87136635,103.09187049,101.51518189,13244.42349553,Buy,BINANCE
ENJUSD,Enjin Coin / US Dollar (calculated by TradingView),1.57093689,-0.25629013,-0.0040365,1.58190357,1.56589064,584577.35590219,Neutral,BINANCE
EOSTUSD,EOS / TrueUSD,6.2043,-0.71054779,-0.0444,6.2892,6.2043,59.2,Neutral,BINANCE
EOSUSD,EOS / US Dollar (calculated by TradingView),6.26098037,-0.00047538,-0.00002976,6.29450465,6.22598706,174597.6006826,Buy,BINANCE
